,SKU,System Projections,Consensus Projections,Actual Sales,Case Fullfilment Rate,Location,ABC Code,XYZ Code,Week,Adjustment CFR
0,D1,1588,1501,1661.0,1.0,Gujranwala,A,Z,Week 2,2
1,D1,1588,1501,1661.0,1.0,Gujranwala,A,Z,Week 5,2
2,D1,1588,1501,1661.0,1.0,Gujranwala,A,Z,Week 7,2
3,D1,1588,1501,1661.0,1.0,Gujranwala,A,Z,Week 8,2
4,D1,3235,3174,3371.0,1.0,Gujranwala,A,Z,Week 2,2
5,D1,3235,3174,3371.0,1.0,Gujranwala,A,Z,Week 5,2
6,D1,3235,3174,3371.0,1.0,Gujranwala,A,Z,Week 7,2
7,D1,3235,3174,3371.0,1.0,Gujranwala,A,Z,Week 8,2
8,D1,4378,4699,4421.0,1.0,Gujranwala,A,Z,Week 2,2
9,D1,4378,4699,4421.0,1.0,Gujranwala,A,Z,Week 5,2
10,D1,4378,4699,4421.0,1.0,Gujranwala,A,Z,Week 7,2
11,D1,4378,4699,4421.0,1.0,Gujranwala,A,Z,Week 8,2
12,D1,3714,2726,3719.0,0.89,Gujranwala,A,Z,Week 2,2
13,D1,3714,2726,3719.0,0.89,Gujranwala,A,Z,Week 5,2
14,D1,3714,2726,3719.0,0.89,Gujranwala,A,Z,Week 7,2
15,D1,3714,2726,3719.0,0.89,Gujranwala,A,Z,Week 8,2
16,D1,3012,2276,3162.0,0.89,Gujranwala,A,Z,Week 2,2
17,D1,3012,2276,3162.0,0.89,Gujranwala,A,Z,Week 5,2
18,D1,3012,2276,3162.0,0.89,Gujranwala,A,Z,Week 7,2
19,D1,3012,2276,3162.0,0.89,Gujranwala,A,Z,Week 8,2
20,D1,4574,4902,4684.0,0.89,Gujranwala,A,Z,Week 2,2
21,D1,4574,4902,4684.0,0.89,Gujranwala,A,Z,Week 5,2
22,D1,4574,4902,4684.0,0.89,Gujranwala,A,Z,Week 7,2
23,D1,4574,4902,4684.0,0.89,Gujranwala,A,Z,Week 8,2
24,D1,1051,946,1045.0,0.95,Gujranwala,A,Z,Week 2,2
25,D1,1051,946,1045.0,0.95,Gujranwala,A,Z,Week 5,2
26,D1,1051,946,1045.0,0.95,Gujranwala,A,Z,Week 7,2
27,D1,1051,946,1045.0,0.95,Gujranwala,A,Z,Week 8,2
28,D1,2101,1682,2099.0,0.95,Gujranwala,A,Z,Week 2,2
29,D1,2101,1682,2099.0,0.95,Gujranwala,A,Z,Week 5,2
30,D1,2101,1682,2099.0,0.95,Gujranwala,A,Z,Week 7,2
31,D1,2101,1682,2099.0,0.95,Gujranwala,A,Z,Week 8,2
32,D1,1628,1837,1635.0,0.95,Gujranwala,A,Z,Week 2,2
33,D1,1628,1837,1635.0,0.95,Gujranwala,A,Z,Week 5,2
34,D1,1628,1837,1635.0,0.95,Gujranwala,A,Z,Week 7,2
35,D1,1628,1837,1635.0,0.95,Gujranwala,A,Z,Week 8,2
36,D1,2918,2480,2835.0,1.0,Gujranwala,A,Z,Week 2,2
37,D1,2918,2480,2835.0,1.0,Gujranwala,A,Z,Week 5,2
38,D1,2918,2480,2835.0,1.0,Gujranwala,A,Z,Week 7,2
39,D1,2918,2480,2835.0,1.0,Gujranwala,A,Z,Week 8,2
40,D1,3944,3560,3837.0,1.0,Gujranwala,A,Z,Week 2,2
41,D1,3944,3560,3837.0,1.0,Gujranwala,A,Z,Week 5,2
42,D1,3944,3560,3837.0,1.0,Gujranwala,A,Z,Week 7,2
43,D1,3944,3560,3837.0,1.0,Gujranwala,A,Z,Week 8,2
44,D1,2914,2865,2838.0,1.0,Gujranwala,A,Z,Week 2,2
45,D1,2914,2865,2838.0,1.0,Gujranwala,A,Z,Week 5,2
46,D1,2914,2865,2838.0,1.0,Gujranwala,A,Z,Week 7,2
47,D1,2914,2865,2838.0,1.0,Gujranwala,A,Z,Week 8,2
48,D1,1766,1745,1834.0,0.97,Gujranwala,A,Z,Week 2,2
49,D1,1766,1745,1834.0,0.97,Gujranwala,A,Z,Week 5,2
50,D1,1766,1745,1834.0,0.97,Gujranwala,A,Z,Week 7,2
51,D1,1766,1745,1834.0,0.97,Gujranwala,A,Z,Week 8,2
52,D1,2270,2457,2217.0,0.97,Gujranwala,A,Z,Week 2,2
53,D1,2270,2457,2217.0,0.97,Gujranwala,A,Z,Week 5,2
54,D1,2270,2457,2217.0,0.97,Gujranwala,A,Z,Week 7,2
55,D1,2270,2457,2217.0,0.97,Gujranwala,A,Z,Week 8,2
56,D1,2904,2444,3044.0,0.97,Gujranwala,A,Z,Week 2,2
57,D1,2904,2444,3044.0,0.97,Gujranwala,A,Z,Week 5,2
58,D1,2904,2444,3044.0,0.97,Gujranwala,A,Z,Week 7,2
59,D1,2904,2444,3044.0,0.97,Gujranwala,A,Z,Week 8,2
60,D1,3917,4124,3803.0,1.0,Gujranwala,A,Z,Week 2,2
61,D1,3917,4124,3803.0,1.0,Gujranwala,A,Z,Week 5,2
